State;Republican Votes;Democratic Votes
Alabama;97.9%;2.3%
Alaska;92%;9%
Arizona;64%;37%
Colorado;96.5%;4.3%
Florida;85%;17%
Georgia;61%;41%
Indiana;97.4%;2.9%
Kansas;96.9%;3.3%
Maine;87%;14%
Massachusetts;98.0%;2.1%
Minnesota;92%;9%
New Jersey;96.5%;3.7%
North Carolina;59%;43%
North Dakota;98.1%;2.3%
Oklahoma;98.4%;1.8%
Pennsylvania;56%;45%
South Dakota;98.3%;2.1%
Texas;87%;14%
Wyoming;98.7%;2.0%
Connecticut;97.7%;2.4%
Missouri;97.9%;2.8%
West Virginia;98.0%;2.1%
Illinois;97.7%;2.5%
New Mexico;91%;10%
Arkansas;97.9%;2.4%
California;97.8%;2.5%
Delaware;97.0%;3.1%
Hawaii;97.6%;2.7%
Iowa;95%;6%
Kentucky;97.4%;2.9%
Maryland;98.1%;2.1%
Michigan;56%;45%
Mississippi;97.6%;2.6%
Montana;97.9%;2.8%
New Hampshire;84%;17%
New York;97.3%;2.9%
Ohio;93%;9%
Oregon;96.7%;3.6%
Tennessee;97.0%;3.4%
Utah;97.3%;3.0%
Virginia;89%;13%
Washington;96.5%;4.2%
Wisconsin;57%;45%
Nebraska;97.5%;3.1%
South Carolina;97.4%;2.9%
Idaho;98.7%;1.8%
Nevada;55%;47%
Vermont;97.7%;2.9%
Louisiana;97.6%;2.8%
Rhode Island;97.8%;2.4%
Congressional District 1St Maine;97.8%;3.2%
Congressional District 2Nd Maine;79%;23%
Congressional District 1St Nebraska;97.5%;3.4%
Congressional District 2Nd Nebraska;82%;20%
Congressional District 3Rd Nebraska;98.0%;3.4%
